Date,Nifty 50,Nifty Midcap,Gold ETF,Debt MF,REIT,SGB (proxy)
2019-02-05,0.0020252110586724,-0.007162911649979,1.3405264801396e-05,-0.0154505886176306,0.0,1.3405264801396e-05
2019-02-06,0.0117154280331102,0.0091693233906942,4.575503566234401e-05,0.0191804104823687,0.0,4.575503566234401e-05
2019-02-07,0.0006282690714798,0.0118750796868964,-0.000116733728462532,0.0102652560770635,0.0,-0.000116733728462532
2019-02-08,-0.0113647331210952,-0.0155642006430269,-2.7309319996434e-05,-0.0190516827667504,0.0,-2.7309319996434e-05
2019-02-11,-0.0050074752954736,-0.011176992776864,2.9780205072291e-05,-0.0198533012648511,0.0,2.9780205072291e-05
2019-02-12,-0.0052714178873772,-0.0055487220521599,-3.2593066484192e-05,0.0083663822860973,0.0,-3.2593066484192e-05
2019-02-14,-0.0078799216038005,-0.0056986185711462,0.0,-0.0288209545155646,0.0,0.0
2019-02-15,-0.0020146392819672,-0.0171549929516425,8.9537726815007e-05,0.0175359439596265,0.0,8.9537726815007e-05
2019-02-18,-0.0077813390280961,-0.008005707694358,7.7374910302763e-05,-0.0035351271176691,0.0,7.7374910302763e-05
2019-02-19,-0.0034395975233135,0.0016227417641627,2.5761892490665e-05,0.0057650143021548,0.0,2.5761892490665e-05
2019-02-20,0.0123629068039776,0.0134110060362824,5.0047921562397e-05,0.0194003760201539,0.0,5.0047921562397e-05
2019-02-21,0.0050672690080806,0.0085541970812219,-7.8374017551776e-05,0.004325193360348,0.0,-7.8374017551776e-05
2019-02-22,0.0001668958618696,0.0077461422957878,-6.0972060292415e-05,0.0193798783913246,0.0,-6.0972060292415e-05
2019-02-25,0.0081960789636807,0.004410369254854,2.1691606573277e-05,0.0033798024270468,0.0,2.1691606573277e-05
2019-02-26,-0.0041175914096317,-0.0004959531312368,-1.0991008517757e-05,0.0105263157894737,0.0,-1.0991008517757e-05
2019-02-27,-0.0026440813432874,0.004244307444621,2.0144478433654e-05,-0.0020833015441894,0.0,2.0144478433654e-05
2019-02-28,-0.0013094150466157,0.0077382357526223,-3.1592152726059e-05,0.025469673635537,0.0,-3.1592152726059e-05
2019-03-01,0.0065786425758629,0.012576149301138,-0.000145242308751331,0.012215030575436,0.0,-0.000145242308751331
2019-03-05,0.0114097846285727,0.0185918469730239,-0.000205853790447104,0.0362027190842271,0.0,-0.000205853790447104
2019-03-06,0.0059658795737218,0.0077174287617152,1.5978578590392e-05,0.0077639306604735,0.0,1.5978578590392e-05
2019-03-07,0.0004704781790012,-0.0046665079081582,-6.889687557554399e-05,-0.0234976396192473,0.0,-6.889687557554399e-05
2019-03-08,-0.0020618006804727,0.0010463100800519,5.0839736447905e-05,0.0015778701213728,0.0,5.0839736447905e-05
2019-03-11,0.0120203535320015,0.0229202867025761,1.1767627807968e-05,0.0204805226571087,0.0,1.1767627807968e-05
2019-03-12,0.0119224388280498,0.0042990697228402,-5.0347792318635e-05,-0.0015437672101223,0.0,-5.0347792318635e-05
2019-03-13,0.0035836901656514,-0.0056880529907267,8.357332828625901e-05,-0.0162350236826042,0.0,8.357332828625901e-05
2019-03-14,0.0001366465927339,-0.0037703442988749,-8.253048669455e-05,0.0188604922533168,0.0,-8.253048669455e-05
2019-03-15,0.007369987382364,-0.0012329020296539,-3.702446762446e-06,0.0235248979241162,0.0,-3.702446762446e-06
